Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Spectype,Spectype_ref,Class,Compact,Mx,Mx_err,Mx_ref,Mo,Mo_err,Mo_ref,Period,Period_err,Period_ref,Superorbital Period,Superorbital Period_err,Superorbital Period_ref,Eccentricity,Eccentricity_err,Eccentricity_ref,Spin_period,Spin_period_err,Spin_period_ref,RV,RV_err,RV_ref,Distance,Distance_err_lo,Distance_err_up,IGR_var,Swift_var,XMM_var,Chandra_var,Var,best_ID,AGILE_ID,AGILE_RA,AGILE_Dec,AGILE_err,AGILE_ref,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
1A 0535+262,84.72739245821431,26.31577524440175,5.625194559494655E-9,,O9.5III-Ve,1998PASP..110.1310W,Be,,,,,20.0,,2001A&A...377..161O,110.3,0.3,2001A&A...377..161O,,,,0.47,0.02,1996ApJ...459..288F,103.4,0.02,2005ATel..557....1S,-30.0,4.0,1984PASP...96..312H,1793.0,-71.0,76.0,Y,25.127817153930664,1.0,1.0,Y,Gaia DR3 3441207615229815040,,,,,,,,,,,,,,,,3A 0535+262,84.7275,26.3175,0.0,,1A 0535+262,84.727,26.316,0.0030000001192092896,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J053854.5+261856,84.72741,26.31559,5.555555555555556E-4,,4XMM J053854.5+261857,84.72737,26.315868,6.981666666666667E-5,,2CXO J053854.5+261856,84.72741720967537,26.31572486957622,1.9719805588546663E-4,,2MASS J05385458+2618568,84.727427,26.315798,1.9444444527228672E-5,,441207615229815040,84.72739245821431,26.31577524440175,5.625194559494655E-9,
AAO+28  342,88.9793400429246,28.78510745617743,7.036966271698476E-9,,B5ne,1950ApJ...111..495P,Be,,,,,,,,,,,,,,,,,,,,,,,1600.0,-73.0,95.0,,,,,,Gaia DR3 3431561565357225088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J05555504+2847064,88.979362,28.785112,1.6666666294137637E-5,,431561565357225088,88.9793400429246,28.78510745617743,7.036966271698476E-9,
IGR J06074+2205,91.86088634197857,22.096597258920347,4.415942562950983E-9,,B0.5Ve,2010A&A...522A.107R,Be,,,,,14.6,,1996MNRAS.280L..31P,,,,,,,,,,373.226,0.013,2018A&A...613A..52R,18.9,4.1,2017AJ....153..174C,5989.0,-603.0,559.0,,1.1058824062347412,1.0,0.0,Y,Gaia DR3 3423526544838563328,,,,,,,,,,,,,,,,,,,,,IGR J06074+2205,91.85,22.083333333333332,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J060726.5+220549,91.86063,22.09698,9.722222222222222E-4,,4XMM J060726.5+220547,91.860792,22.096484,1.1725805555555555E-4,,2CXO J060726.6+220547,91.86092699679034,22.096589875450412,1.976208442612933E-4,,,,,,,423526544838563328,91.86088634197857,22.096597258920347,4.415942562950983E-9,
HD 259440,98.24690241608782,5.800320528353365,4.864935245778826E-9,,B0pe,1982IAUS...98..261J,"$\gamma$\,Be",NS?,1.4,,2010ApJ...724..306A,15.7,2.5,2010ApJ...724..306A,317.3,0.7,2021ApJ...923..241A,,,,0.62,0.16,2018PASJ...70...61M,,,,36.9,0.8,2018PASJ...70...61M,1772.0,-86.0,93.0,,2.6937499046325684,0.0,,,Gaia DR3 3131822364779745536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4FGL J0632.8+0550,98.2139,5.8453,0.061796,,,,,,,2SXPS J063259.2+054801,98.24684,5.80042,3.333333465788099E-4,,4XMM J063259.2+054801,98.246902,5.80036,7.999027777777779E-5,,,,,,,2MASS J06325925+0548012,98.246913,5.800357,1.6666666294137637E-5,,131822364779745536,98.24690241608782,5.800320528353365,4.864935245778826E-9,
SAX J0635.2+0533,98.82616381073139,5.551744844144263,3.255060356524256E-9,,B2V-B1IIIe,1999ApJ...523..197K,Be,,,,,9.6,,1996MNRAS.280L..31P,11.2,0.5,2000ApJ...542L..41K,,,,0.29,0.09,2000ApJ...542L..41K,0.034,,2000ApJ...528L..25C,,,,6290.0,-492.0,655.0,,3.439316511154175,0.0,,,Gaia DR3 3131755947406031104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J063518.2+053307,98.82602,5.55203,9.722222222222222E-4,,4XMM J063518.2+053306,98.826196,5.551779,1.9345333333333335E-4,,,,,,,2MASS J06351827+0533063,98.826156,5.55176,2.2222221725516848E-5,,131755947406031104,98.82616381073139,5.551744844144263,3.255060356524256E-9,
3A 0656-072,104.56043808872012,-7.2124898520261,1.05692342751556E-8,,O9.7Ve,2003ATel..202....1P,Be,,,,,15.6,,2005A&A...436.1049M,101.2,,2015A&ARv..23....2W,,,,,,,160.4,0.4,2006A&A...451..267M,,,,218.0,-2.0,2.0,Y,,,0.0,Y,Gaia DR3 3052677284433717504,,,,,,,,,,,,,,,,,,,,,3A 0656-072,104.57,-7.21,0.012333333492279053,,,,,,,1WGA J0658.2-0712,104.5617,-7.212,0.003611111111111111,,1RXS  J065817.0-071221,104.57083,-7.20597,0.004722222222222222,,,,,,,,,,,,2SXPS J065814.2-071243,104.55948,-7.21198,0.0011111111111111111,,,,,,,2CXO J065814.5-071245,104.56045991125347,-7.212520415353012,1.975655086379587E-4,,2MASS J06581450-0712449,104.560455,-7.212483,1.6666666294137637E-5,,52677284433717504,104.56043808872012,-7.2124898520261,1.05692342751556E-8,
3A 0726-260,112.2232407535484,-26.108019042809907,2.513845554656453E-9,,O5Ve,2016ApJS..224....4M,Be,NS,,,,38.1,,2005A&A...436.1049M,34.548,0.01,2016ATel.9823....1C,,,,,,,103.144,0.001,2020RAA....20..155R,,,,7869.0,-1082.0,1199.0,,15.690475463867188,,1.0,Y,Gaia DR3 5613494119551805184,,,,,,1H0726-259,112.0843,-26.0935,0.16843375507935768,,,,,,,3A 0726-260,112.224,-26.1741,0.06366197818539553,,3A 0726-260,112.209,-26.099,0.0731666644414266,,,,,,,,,,,,,,,,,,,,,,3A 0726-260,112.21,-26.1,0.038333332538604735,,2SXPS J072853.5-260629,112.22301,-26.10807,4.7222223546769884E-4,,,,,,,2CXO J072853.5-260629,112.22328497456192,-26.108064695650018,1.9720544861327678E-4,,2MASS J07285357-2606289,112.223237,-26.10803,1.6666666294137637E-5,,5613494119551805184,112.2232407535484,-26.108019042809907,2.513845554656453E-9,
SGR 0755-2933,118.9270218136784,-29.56485835566189,2.420968634800779E-9,,B0Ve,2023Natur.614...45R,Be,NS,1.4,,2023Natur.614...45R,18.5,1.0,2023Natur.614...45R,59.69,0.15,2023Natur.614...45R,260.0,,2021A&A...647A.165D,0.06,0.06,2023Natur.614...45R,307.8,0.04,2021A&A...647A.165D,2.16,0.15,2023Natur.614...45R,3356.0,-154.0,159.0,,21.272727966308594,,,Y,Gaia DR3 5597252305589385984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J075542.5-293353,118.9272,-29.5649,6.111111243565878E-4,,,,,,,2SXPS J075542.5-293353,118.9271642,-29.5648607,5.555555555555556E-4,2021A&A...647A.165D,2MASS J07554248-2933535,118.927032,-29.564863,1.6666666294137637E-5,,5597252305589385984,118.9270218136784,-29.56485835566189,2.420968634800779E-9,
RX J0812.4-3114,123.11814876922769,-31.247806699969043,2.0721819924397603E-9,,B0.2IVe,2001A&A...367..266R,Be,NS,,,,17.5,,1996MNRAS.280L..31P,80.39,3.0,2019MNRAS.488.4427Z,,,,,,,31.908,0.009,2019MNRAS.488.4427Z,,,,6659.0,-422.0,528.0,,,1.0,0.0,Y,Gaia DR3 5548261400354128768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RX J0812.4-3114,123.14,-31.245,0.034999998410542806,,,,,,,4XMM J081228.3-311452,123.118121,-31.247798,8.622833333333332E-5,,2CXO J081228.3-311452,123.11795205035514,-31.247874095275513,2.0386105211272088E-4,,2MASS J08122835-3114521,123.118152,-31.247808,1.6666666294137637E-5,,5548261400354128768,123.11814876922769,-31.247806699969043,2.0721819924397603E-9,
IGR J08262-3736,126.55687950869762,-37.61995049188073,1.7968644129319325E-9,,OBV,2010A&A...519A..96M,Be,,,,,,,,,,,,,,,,,,,,,,,5124.0,-228.0,279.0,,1.3000000715255737,1.0,,Y,Gaia DR3 5541793213959987968,,,,,,,,,,,,,,,,,,,,,IGR J08262-3736,126.558,-37.62,0.0668333371480306,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J082613.6-373712,126.55697,-37.62017,9.722222222222222E-4,,4XMM J082613.6-373711,126.556898,-37.619982,6.985277777777778E-5,,,,,,,2MASS J08261365-3737118,126.55689,-37.619972,1.6666666294137637E-5,,5541793213959987968,126.55687950869762,-37.61995049188073,1.7968644129319325E-9,
GS 0834-430,128.981075,-43.1856,1.6666666294137637E-5,,B0-2 III-Ve,2000MNRAS.314...87I,Be,NS,,,,13.5,0.0,1996MNRAS.280L..31P,105.8,0.4,1997ApJ...479..388W,,,,0.14,0.04,1997ApJ...479..388W,12.3203,0.0015,1993A&A...271..487B,,,,,,,,1.668207049369812,,,,2MASS J08355545-4311081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1WGA J0835.9-4311,128.9804,-43.1879,0.003611111111111111,,,,,,,,,,,,,,,,,2SXPS J083555.3-431109,128.98057,-43.1859,9.722222222222222E-4,,,,,,,,,,,,2MASS J08355545-4311081,128.981075,-43.1856,1.6666666294137637E-5,,0,,,,
IGR J08408-4503,130.199187,-45.058395,1.6666666294137637E-5,,O8.5Ib-II(f)p,2014ApJS..211...10S,SFXT,,,,,33.0,,2015A&A...583L...4G,9.5436,2.0E-4,2015A&A...583L...4G,,,,0.63,0.03,2015A&A...583L...4G,,,,15.3,0.5,2015A&A...583L...4G,,,,Y,13.27918815612793,1.0,,Y,2MASS J08404780-4503302,,,,,,,,,,,,,,,,,,,,,IGR J08408-4503,130.196,-45.059,0.05433333317438761,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J084047.8-450330,130.19919,-45.0584,4.7222223546769884E-4,,4XMM J084047.8-450330,130.199384,-45.058389,8.819611111111111E-5,,,,,,,2MASS J08404780-4503302,130.199187,-45.058395,1.6666666294137637E-5,,0,,,,
Vela X-1,135.5285587975077,-40.55465296117549,3.0167237855494027E-9,,B0.5Iae-1b,1978mcts.book.....H,sg,,2.12,0.16,2015A&A...577A.130F,26.0,1.0,2015A&A...577A.130F,8.96302,4.5E-4,1997MNRAS.286L..21S,,,,0.107,0.079,1997MNRAS.286L..21S,283.0,,1976ApJ...206L..99M,-3.2,0.9,1997MNRAS.286L..21S,1960.0,-52.0,57.0,,2.2933709621429443,1.0,,Y,Gaia DR3 5620657678322625920,,,,,,1H0859-403,135.4734,-40.5577,0.06676924468224589,,,,,,,3A 0900-403,135.5335,-40.5579,0.0,,Vela X-1,135.529,-40.555,0.0028333333631356556,,,,,,,1WGA J0902.1-4033,135.5292,-40.5534,0.003611111111111111,,,,,,,,,,,,Vela X-1,135.519,-40.53,0.026666667064030966,,2SXPS J090206.6-403315,135.52764,-40.55439,9.722222222222222E-4,,4XMM J090206.9-403316,135.528763,-40.554697,1.2716416666666666E-4,,,,,,,2MASS J09020686-4033168,135.528591,-40.554676,1.6666666294137637E-5,,5620657678322625920,135.5285587975077,-40.55465296117549,3.0167237855494027E-9,
